mr,utt
"name[Blue Spice], eatType[coffee shop], area[city centre]",a _|eatType|_ in the _|area|_ area called _|name|_.
"name[Blue Spice], eatType[coffee shop], area[city centre]",_|name|_ is a _|eatType|_ in _|area|_.
"name[Blue Spice], eatType[coffee shop], area[riverside]",there is a _|eatType|_ _|name|_ in the _|area|_ area.
"name[Blue Spice], eatType[coffee shop], area[riverside]","at the _|area|_, there is a _|eatType|_ called the _|name|_."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",the _|eatType|_ _|name|_ is based near _|near|_ and has a high customer rating of 5 out of 5.
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]","the _|name|_ _|eatType|_, near _|near|_, has a customer rating of 5 out of 5."
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",if you want a _|eatType|_ rated 5 out of 5 pick _|name|_. it is located near _|near|_.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",_|near|_ is near the _|eatType|_ _|name|_ which has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]","the _|name|_ _|eatType|_ near _|near|_ has good customer ratings with excellent food and service, with a lovely atmosphere."
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",average customer rating _|eatType|_ include _|name|_ near _|near|_.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",the _|name|_ _|eatType|_ located near _|near|_ has been rated average by customers.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",located near _|near|_ is a _|eatType|_ named _|name|_ that has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",near _|near|_ is a _|eatType|_ called _|name|_ which has an average customer rating.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",near _|near|_ is the _|name|_ _|eatType|_.  it has average customer ratings.
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",_|near|_ has a _|eatType|_ nearby with an average customer rating called _|name|_.
"name[Blue Spice], eatType[pub], area[city centre]",a _|eatType|_ in the _|area|_ area called _|name|_.
"name[Blue Spice], eatType[pub], area[city centre]",_|name|_ is a _|eatType|_ in _|area|_.
"name[Blue Spice], eatType[pub], area[riverside]",there is a _|eatType|_ _|name|_ in the _|area|_ area.
"name[Blue Spice], eatType[pub], area[riverside]","at the _|area|_, there is a _|eatType|_ called the _|name|_."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",the _|eatType|_ _|name|_ is based near _|near|_ and has a high customer rating of 5 out of 5.
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]","the _|name|_ _|eatType|_, near _|near|_, has a customer rating of 5 out of 5."
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",if you want a _|eatType|_ rated 5 out of 5 pick _|name|_. it is located near _|near|_.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",_|near|_ is near the _|eatType|_ _|name|_ which has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]","the _|name|_ _|eatType|_ near _|near|_ has good customer ratings with excellent food and service, with a lovely atmosphere."
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",average customer rating _|eatType|_ include _|name|_ near _|near|_.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",the _|name|_ _|eatType|_ located near _|near|_ has been rated average by customers.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",located near _|near|_ is a _|eatType|_ named _|name|_ that has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",near _|near|_ is a _|eatType|_ called _|name|_ which has an average customer rating.
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",near _|near|_ is the _|name|_ _|eatType|_.  it has average customer ratings.
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]",_|near|_ has a _|eatType|_ nearby with an average customer rating called _|name|_.
